"id","name","pitches","rv_tot","pct_tot","rv_11","pct_11","rv_12","pct_12","rv_13","pct_13","rv_14","pct_14","rv_16","pct_16","rv_17","pct_17","rv_18","pct_18","rv_19","pct_19"
696100,"Goodman, Hunter",1880,0.5176457119283192,0.4511834319526627,0,0.12903225806451613,0,0.6494845360824743,0,0.07692307692307693,0,0.4528301886792453,1,0.6165413533834586,0,0.32608695652173914,-1,0.4744525547445255,0,0.3188405797101449
700337,"Quero, Edgar",1925,-2.1580229057629894,0.4692513368983957,0,0.1875,0,0.6902654867256637,1,0.3137254901960784,-1,0.4180327868852459,0,0.5436241610738255,0,0.2549019607843137,-1,0.551948051948052,0,0.3
682663,"Ramírez, Agustín",1255,-1.2424660428607461,0.47297297297297297,0,0.06896551724137931,0,0.52,0,0.4444444444444444,-1,0.45569620253164556,0,0.6506024096385542,-1,0.35135135135135137,0,0.5833333333333334,0,0.24489795918367346
608348,"Kelly, Carson",1805,-0.7744094041004264,0.45788667687595713,0,0.2830188679245283,0,0.5227272727272727,0,0.1875,-1,0.4931506849315068,0,0.5728155339805825,0,0.2777777777777778,1,0.5934959349593496,0,0.24074074074074073
689414,"Hicks, Liam",1399,-1.5243042404591198,0.4610655737704918,0,0.20512820512820512,0,0.5319148936170213,0,0.19047619047619047,-2,0.4606741573033708,0,0.6421052631578947,0,0.2702702702702703,0,0.6057692307692307,0,0.23214285714285715
686948,"Baldwin, Drake",1797,-0.27725053401669075,0.48625180897250364,0,0.32075471698113206,0,0.6056338028169014,0,0.18518518518518517,1,0.5877862595419847,-1,0.5263157894736842,1,0.3939393939393939,-1,0.5886075949367089,0,0.2112676056338028
643376,"Jansen, Danny",1895,-3.3584916954605233,0.4524822695035461,0,0.22388059701492538,-1,0.5666666666666667,0,0.20930232558139536,1,0.6062992125984252,-1,0.5257731958762887,0,0.3230769230769231,-2,0.49707602339181284,0,0.2222222222222222
666310,"Naylor, Bo",1833,0.24437496729181374,0.4494047619047619,0,0.2459016393442623,1,0.693069306930693,0,0.13953488372093023,0,0.5227272727272727,-1,0.5308641975308642,0,0.13793103448275862,0,0.4740740740740741,0,0.20754716981132076
605170,"Caratini, Victor",1260,1.225745076812357,0.485838779956427,0,0.18421052631578946,-1,0.5454545454545454,0,0.2727272727272727,0,0.5121951219512195,1,0.7,0,0.36,1,0.5573770491803278,0,0.23255813953488372
673237,"Diaz, Yainer",1877,-3.0509296590516066,0.4158415841584158,-1,0.08771929824561403,0,0.46226415094339623,0,0.2,-1,0.4180327868852459,0,0.6068965517241379,0,0.1875,-1,0.5772357723577236,0,0.1951219512195122
693307,"Dingler, Dillon",2195,2.4119439860565164,0.49361207897793263,0,0.25806451612903225,2,0.6929824561403509,0,0.25806451612903225,0,0.5490196078431373,-1,0.5416666666666666,0,0.25333333333333335,1,0.6170212765957447,0,0.2698412698412698
664954,"Sullivan, Brett",1217,-1.0783746749479373,0.4252136752136752,0,0.08571428571428572,-1,0.46153846153846156,0,0.12903225806451613,0,0.5084745762711864,-1,0.5913978494623656,0,0.2727272727272727,1,0.5922330097087378,0,0.14285714285714285
543877,"Vázquez, Christian",1512,1.6525189774961162,0.44964028776978415,0,0.22580645161290322,0,0.6025641025641025,0,0.3125,1,0.5413533834586466,1,0.5862068965517241,0,0.12,-1,0.4375,0,0.2558139534883721
686452,"Millas, Drew",1664,1.2757374869897933,0.4819078947368421,0,0.2765957446808511,0,0.5875,0,0.2857142857142857,0,0.5052631578947369,0,0.5901639344262295,0,0.30952380952380953,0,0.5923076923076923,1,0.23943661971830985
